INFO:root:read_directory Ran with args: (), and kwargs: {}
INFO:root:get_clean_data ran in: 2.47445011138916 sec
INFO:root:get_unique_word_frequency Ran with args: (), and kwargs: {}
INFO:root:get_unique_word_frequency ran in: 0.015651941299438477 sec
INFO:root:calculate_similarity_TF_IDF Ran with args: (), and kwargs: {}
INFO:root:calculate_TF_IDF Ran with args: (), and kwargs: {}
INFO:root:calculate_term_frequency Ran with args: (), and kwargs: {}
INFO:root:calculate_term_frequency ran in: 0.00986790657043457 sec
INFO:root:calculate_inverse_document_frequency_term Ran with args: (), and kwargs: {}
INFO:root:calculate_document_frequency_term Ran with args: (), and kwargs: {}
INFO:root:calculate_document_frequency_term ran in: 6.299156904220581 sec
INFO:root:calculate_inverse_document_frequency_term ran in: 6.300572156906128 sec
INFO:root:calculate_TF_IDF ran in: 7.149393796920776 sec
INFO:root:calculate_similarity_TF_IDF ran in: 2080.5565807819366 sec
INFO:root:create_positional_index Ran with args: (), and kwargs: {}
INFO:root:read_directory Ran with args: (), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset_test/file_1.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset_test/file_2.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset_test/file_3.txt',), and kwargs: {}
INFO:root:get_clean_data Ran with args: ('positional index', {'file_1.txt': 'A duplicate word list. Duplicate words testing. My late night snacks is grape.\n', 'file_2.txt': 'A duplicate word list. Duplicate words testing. Python project in progress.\n', 'file_3.txt': 'A duplicate word list testing. Duplicate words exists. Wearing jacket but no sandal. Feeling cold.\n'}), and kwargs: {}
INFO:root:get_clean_data ran in: 0.002209901809692383 sec
INFO:root:create_positional_index ran in: 0.0032110214233398438 sec
INFO:root:create_inverted_index Ran with args: (), and kwargs: {}
INFO:root:read_directory Ran with args: (), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset_test/file_1.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset_test/file_2.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset_test/file_3.txt',), and kwargs: {}
INFO:root:get_clean_data Ran with args: ('inverted index', {'file_1.txt': 'A duplicate word list. Duplicate words testing. My late night snacks is grape.\n', 'file_2.txt': 'A duplicate word list. Duplicate words testing. Python project in progress.\n', 'file_3.txt': 'A duplicate word list testing. Duplicate words exists. Wearing jacket but no sandal. Feeling cold.\n'}), and kwargs: {}
INFO:root:get_clean_data ran in: 0.002312898635864258 sec
INFO:root:create_inverted_index ran in: 0.0031311511993408203 sec
